,name,year,nationality,width,height,mean_hue,mean_saturation,mean_brightness
99,portrait-of-a-lady,1790,British,853.0,1024.0,0.11718474208461889,0.3854663021752014,0.34348026285543526
100,portrait-of-a-lady,1790,British,450.0,722.0,0.11751810110149054,0.466419460689349,0.4477659128902408
101,portrait-of-a-lady,1790,British,621.0,1200.0,0.16578440287131269,0.26901178016059785,0.412174612947702
102,portrait-of-a-lady,1790,British,656.0,830.0,0.15030497550850092,0.22891561050373307,0.29581557939073366
103,portrait-of-a-lady,1790,British,500.0,607.0,0.07433723629755613,0.6782759555573676,0.3000332202732822
104,portrait-of-a-lady,1790,British,670.0,800.0,0.11674730157840775,0.4581399494449467,0.4605486976880304
105,portrait-of-a-lady,1790,British,556.0,685.0,0.12613586804482257,0.26406775123878756,0.5506961232216461
106,portrait-of-a-lady,1790,British,853.0,1024.0,0.11718474208461889,0.3854663021752014,0.34348026285543526
107,portrait-of-a-lady,1795,British,450.0,722.0,0.11751810110149054,0.466419460689349,0.4477659128902408
108,portrait-of-a-lady,1795,British,621.0,1200.0,0.16578440287131269,0.26901178016059785,0.412174612947702
109,portrait-of-a-lady,1795,British,656.0,830.0,0.15030497550850092,0.22891561050373307,0.29581557939073366
110,portrait-of-a-lady,1795,British,500.0,607.0,0.07433723629755613,0.6782759555573676,0.3000332202732822
111,portrait-of-a-lady,1795,British,670.0,800.0,0.11674730157840775,0.4581399494449467,0.4605486976880304
112,portrait-of-a-lady,1795,British,556.0,685.0,0.12613586804482257,0.26406775123878756,0.5506961232216461
113,portrait-of-a-lady,1795,British,853.0,1024.0,0.11718474208461889,0.3854663021752014,0.34348026285543526
114,portrait-of-a-lady,1800,British,450.0,722.0,0.11751810110149054,0.466419460689349,0.4477659128902408
115,portrait-of-a-lady,1800,British,621.0,1200.0,0.16578440287131269,0.26901178016059785,0.412174612947702
116,portrait-of-a-lady,1800,British,656.0,830.0,0.15030497550850092,0.22891561050373307,0.29581557939073366
117,portrait-of-a-lady,1800,British,500.0,607.0,0.07433723629755613,0.6782759555573676,0.3000332202732822
118,portrait-of-a-lady,1800,British,670.0,800.0,0.11674730157840775,0.4581399494449467,0.4605486976880304
119,portrait-of-a-lady,1800,British,556.0,685.0,0.12613586804482257,0.26406775123878756,0.5506961232216461
120,portrait-of-a-lady,1800,British,853.0,1024.0,0.11718474208461889,0.3854663021752014,0.34348026285543526
121,portrait-of-a-lady,1889,Italian,450.0,722.0,0.11751810110149054,0.466419460689349,0.4477659128902408
122,portrait-of-a-lady,1889,Italian,621.0,1200.0,0.16578440287131269,0.26901178016059785,0.412174612947702
123,portrait-of-a-lady,1889,Italian,656.0,830.0,0.15030497550850092,0.22891561050373307,0.29581557939073366
124,portrait-of-a-lady,1889,Italian,500.0,607.0,0.07433723629755613,0.6782759555573676,0.3000332202732822
125,portrait-of-a-lady,1889,Italian,670.0,800.0,0.11674730157840775,0.4581399494449467,0.4605486976880304
126,portrait-of-a-lady,1889,Italian,556.0,685.0,0.12613586804482257,0.26406775123878756,0.5506961232216461
127,portrait-of-a-lady,1889,Italian,853.0,1024.0,0.11718474208461889,0.3854663021752014,0.34348026285543526
128,portrait-of-a-lady,1912,Italian,450.0,722.0,0.11751810110149054,0.466419460689349,0.4477659128902408
129,portrait-of-a-lady,1912,Italian,621.0,1200.0,0.16578440287131269,0.26901178016059785,0.412174612947702
130,portrait-of-a-lady,1912,Italian,656.0,830.0,0.15030497550850092,0.22891561050373307,0.29581557939073366
131,portrait-of-a-lady,1912,Italian,500.0,607.0,0.07433723629755613,0.6782759555573676,0.3000332202732822
132,portrait-of-a-lady,1912,Italian,670.0,800.0,0.11674730157840775,0.4581399494449467,0.4605486976880304
133,portrait-of-a-lady,1912,Italian,556.0,685.0,0.12613586804482257,0.26406775123878756,0.5506961232216461
134,portrait-of-a-lady,1912,Italian,853.0,1024.0,0.11718474208461889,0.3854663021752014,0.34348026285543526
135,portrait-of-a-lady,,Italian,450.0,722.0,0.11751810110149054,0.466419460689349,0.4477659128902408
136,portrait-of-a-lady,,Italian,621.0,1200.0,0.16578440287131269,0.26901178016059785,0.412174612947702
137,portrait-of-a-lady,,Italian,656.0,830.0,0.15030497550850092,0.22891561050373307,0.29581557939073366
138,portrait-of-a-lady,,Italian,500.0,607.0,0.07433723629755613,0.6782759555573676,0.3000332202732822
139,portrait-of-a-lady,,Italian,670.0,800.0,0.11674730157840775,0.4581399494449467,0.4605486976880304
140,portrait-of-a-lady,,Italian,556.0,685.0,0.12613586804482257,0.26406775123878756,0.5506961232216461
141,portrait-of-a-lady,,Italian,853.0,1024.0,0.11718474208461889,0.3854663021752014,0.34348026285543526
142,a-man,1512,Italian,300.0,402.0,0.2019234118494767,0.7983323162961311,0.4201203784996586
143,a-man,1512,Italian,343.0,450.0,0.09363484014401835,0.4372357050678534,0.5515217388542718
144,a-man,,Italian,300.0,402.0,0.2019234118494767,0.7983323162961311,0.4201203784996586
145,a-man,,Italian,343.0,450.0,0.09363484014401835,0.4372357050678534,0.5515217388542718
146,flora,1520,Italian,876.0,1024.0,0.35036843042387716,0.17094618259946368,0.505894344663522
147,flora,1520,Italian,546.0,795.0,0.19802807054328303,0.1947403851968583,0.5160891461890351
148,flora,1588,Italian,876.0,1024.0,0.35036843042387716,0.17094618259946368,0.505894344663522
149,flora,1588,Italian,546.0,795.0,0.19802807054328303,0.1947403851968583,0.5160891461890351
150,flora,1730,Italian,876.0,1024.0,0.35036843042387716,0.17094618259946368,0.505894344663522
151,flora,1730,Italian,546.0,795.0,0.19802807054328303,0.1947403851968583,0.5160891461890351
152,woman-playing-a-lute,1520,Italian,770.0,1020.0,0.1683611933969966,0.446478826285227,0.2579738861676578
153,portrait-of-a-gentleman,,Italian,640.0,800.0,0.10040746776588244,0.5953161835933676,0.26218688725490197
154,portrait-of-a-gentleman,,Italian,728.0,944.0,0.09517453842603923,0.4002936368348918,0.3646784406396197
155,portrait-of-a-gentleman,,Italian,2201.0,2945.0,0.576120669232414,0.4828969502488199,0.43594914737450396
156,portrait-of-a-gentleman,,Italian,640.0,800.0,0.10040746776588244,0.5953161835933676,0.26218688725490197
157,portrait-of-a-gentleman,,Italian,728.0,944.0,0.09517453842603923,0.4002936368348918,0.3646784406396197
